Country,code,id,year,DEMO,CORRUPT,POP,POP0-14%,LFPR,UR,LABOR,LNL1,EFFECTIVE_LABOR,LNL2,EDU_IDX,GDP,LNY,INCOMEPC,LNINCOMEPC,INEQUALITY,CAPITAL_STOCK,LNK,URBAN,LAW,TIME_TREND,dCIVILWARS,dFRENCH,dBRITISH,dLATINAME,dWENA,dMIDEAST,dAFRICAN,dOIL,dLANDLOCKED,dPOSTSOVIET
Afghanistan,AFG,1,2007,3,0.818102837,25877544,47.787,47.9,8.4,5928356,15.595,1900473,14.458,0.320573333,,,,,28.6,,,23.587,0.188,1,1,0,1,0,0,0,0,0,1,0
Albania,ALB,2,2007,5,0.631832814,2970017,24.233,56.7,13.5,1103665,13.914,659965,13.4,0.597975879,21753.484,9.988,7324.364,8.899,34.5,71803.969,11.182,48.902,0.417,1,0,0,0,0,0,0,0,0,0,1
Algeria,DZA,3,2007,2.5,0.603104341,34261971,27.882,42.8,13.8,9116114,16.026,5293606,15.482,0.580686667,420820.406,12.95,12282.434,9.416,35.3,1223665,14.017,65.348,0.5,1,1,1,0,0,0,0,0,1,0,0
Angola,AGO,4,2007,2.5,0.764081669,19183907,48.248,69.3,6.7,6419170,15.675,2536614,14.746,0.39516224,91212.125,11.421,4754.617,8.467,58.6,297778.781,12.604,37.722,0.5,1,1,0,0,0,0,0,1,1,0,0
Argentina,ARG,5,2007,6,0.579616028,39969903,26.52,61.8,8.5,16607901,16.625,12102046,16.309,0.728692115,656393.25,13.395,16422.188,9.706,45.15,1646294.5,14.314,90.445,0.417,1,0,0,0,1,0,0,0,0,0,0
Armenia,ARM,6,2007,3.5,0.632736337,2988117,21.17,59,28.4,995073,13.811,697951,13.456,0.701406667,19717.879,9.889,6598.764,8.795,30.9,35629.398,10.481,64.117,0.5,1,0,0,0,0,0,0,0,0,1,1
Australia,AUS,7,2007,7,0.091680384,20827600,19.384,65.4,4.4,10497740,16.167,9526071,16.07,0.907440197,879905,13.688,42247.066,10.651,32.85,3167556,14.968,88.298,0.917,1,0,0,1,0,0,0,0,0,0,0
Austria,AUT,8,2007,7,0.079495668,8295487,15.509,60.5,4.4,4053819,15.215,3077950,14.94,0.759271676,342411.594,12.744,41276.853,10.628,27.6,1217271.25,14.012,65.835,1,1,0,0,0,0,1,0,0,0,1,0
Azerbaijan,AZE,9,2007,2.5,0.703555417,8581300,24.317,64.1,6.3,3900755,15.177,2649586,14.79,0.679249499,80155.602,11.292,9340.729,9.142,33.7,91752.609,11.427,52.79,0.583,1,1,0,0,0,0,0,0,1,1,1
Bahamas,BHS,10,2007,7,0.225842023,342259,24.674,73.3,7.9,174046,12.067,124261,11.73,0.713954676,9645.678,9.174,28182.393,10.246,43,23283.904,10.056,82.388,0.75,1,0,0,1,1,0,0,0,0,0,0
Bangladesh,BGD,11,2007,3.5,0.709397364,146592687,33.556,70.7,4.3,65901870,18.004,26057888,17.076,0.395404374,258923.781,12.464,1766.28,7.477,32.65,703310.313,13.464,28.237,0.417,1,0,0,0,0,0,0,0,0,0,0
Barbados,BRB,12,2007,7,0.232190824,276154,20.353,70.8,7.4,144199,11.879,104548,11.557,0.725026667,5758.358,8.658,20851.981,9.945,28.9,9524.716,9.162,32.586,0.813,1,0,0,1,1,0,0,0,0,0,0
Belarus,BLR,13,2007,1.5,0.63632232,9560000,15.064,55.5,6.3,4222633,15.256,3202934,14.98,0.758515888,120122.648,11.696,12565.131,9.439,27.2,258642.016,12.463,73.273,0.667,1,0,0,0,0,0,0,0,0,1,1
Belgium,BEL,14,2007,7,0.240629029,10625700,16.924,53.6,7.5,4376604,15.292,3482208,15.063,0.795641564,411064.563,12.927,38685.881,10.563,30.5,1549213.25,14.253,97.497,0.833,1,0,0,0,0,1,0,0,0,0,0
Belize,BLZ,15,2007,6.5,0.575927007,298403,37.67,63.8,8.5,108578,11.595,73565,11.206,0.677533333,2280.346,7.732,7641.832,8.941,53.1,3217.96,8.077,45.771,0.625,1,0,0,1,1,0,0,0,0,0,0
Benin,BEN,16,2007,6,0.594709319,8707637,44.197,72.5,1.1,3484135,15.064,1269490,14.054,0.364362963,15019.434,9.617,1724.858,7.453,37.55,43492.273,10.68,40.703,0.5,1,0,1,0,0,0,0,1,0,0,0
Bhutan,BTN,17,2007,2.5,0.351870239,681471,32.375,71.4,3.7,316869,12.666,,,,4254.324,8.356,6242.854,8.739,38.1,19636.057,9.885,32.469,0.688,1,0,0,0,0,0,0,0,0,1,0
Bolivia,BOL,18,2007,5,0.571043265,9441482,35.896,71.6,5.2,4108168,15.228,2693726,14.806,0.6557,39820.969,10.592,4217.661,8.347,57.25,73006.555,11.198,65.104,0.5,1,0,0,0,1,0,0,0,0,1,0
Bosnia ,BIH,19,2007,4.5,0.575548273,3840418,15.149,44.2,29.7,1012539,13.828,656434,13.395,0.648305061,30407.49,10.322,7917.755,8.977,36.2,69391.563,11.148,39.16,0.5,1,1,0,0,0,0,0,0,0,0,1
Botswana,BWA,20,2007,6,0.311668301,1930431,34.374,76.2,18.5,786763,13.576,477565,13.076,0.607,25954.887,10.164,13445.125,9.506,62,66865.789,11.11,55.539,0.583,1,0,0,1,0,0,0,1,0,1,0
Brazil,BRA,21,2007,6,0.523342717,192784521,26.689,69.5,8.1,90269571,18.318,57700292,17.871,0.639199801,1988869.375,14.503,10316.541,9.242,53.3,6895009,15.746,83.448,0.333,1,0,0,0,1,0,0,0,0,0,0
Bulgaria,BGR,22,2007,6.5,0.546699357,7545338,13.359,53.7,6.9,3268313,15,2369417,14.678,0.724966362,100435.602,11.517,13310.948,9.496,36.75,165144.844,12.015,71.278,0.417,1,0,0,0,0,0,0,0,0,0,1
Burkina Faso,BFA,23,2007,4,0.570271766,14264002,46.517,83.5,3.3,6159862,15.634,1180846,13.982,0.1917,17348.756,9.761,1216.261,7.104,39.65,34955.902,10.462,23.163,0.583,1,0,1,0,0,0,0,1,0,1,0
Burundi,BDI,24,2007,3.5,0.723282313,8514578,44.611,82.3,7.2,3601901,15.097,1093017,13.904,0.303455556,4153.348,8.332,487.793,6.19,37.85,10187.396,9.229,9.864,0.25,1,1,0,0,0,0,0,1,0,1,0
Cambodia,KHM,25,2007,2.5,0.717993188,13728700,35.43,81.9,0.6,7216540,15.792,3544765,15.081,0.4912,29578.686,10.295,2154.515,7.675,41.15,58065.438,10.969,19.413,0.438,1,1,1,0,0,0,0,0,0,0,0
Cameroon,CMR,26,2007,2,0.69024961,19078100,44.025,69.4,4.1,7107333,15.777,3047245,14.93,0.428746667,45440.875,10.724,2381.834,7.776,41.75,92735.93,11.438,49.741,0.333,1,0,1,0,0,0,0,1,0,0,0
Canada,CAN,27,2007,7,0.103467798,32887928,17.13,67.1,6,17190271,16.66,14646455,16.5,0.85202,1370407.5,14.131,41669.013,10.638,32.35,4445640,15.307,80.396,1,1,0,0,1,0,1,0,0,0,0,0
Cape Verde,CPV,28,2007,7,0.342573524,481278,35.271,65.5,9.4,184870,12.127,84758,11.348,0.4584723,2464.201,7.81,5120.119,8.541,50.5,9504.308,9.16,59.363,0.688,1,0,0,0,0,0,0,1,0,0,0
Central African Republic,CAF,29,2007,3,0.694479406,4202104,41.368,78.4,6.9,1798318,14.402,523298,13.168,0.290993333,3658.364,8.205,870.603,6.769,58.8,9048.668,9.11,38.318,0.188,1,0,1,0,0,0,0,1,0,1,0
Chad,TCD,30,2007,1.5,0.760120225,10779504,49.081,71.6,7.1,3650966,15.111,795505,13.587,0.217888959,18205.164,9.809,1688.868,7.432,39.8,22156.293,10.006,21.868,0.25,1,1,1,0,0,0,0,1,0,1,0
Chile,CHL,31,2007,7,0.234703016,16462701,23.16,56.5,7.1,6639764,15.709,4763303,15.376,0.717390389,277084.469,12.532,16831.045,9.731,52.1,690116.313,13.445,87.926,0.833,1,0,0,0,1,0,0,0,0,0,0
China,CHN,32,2007,1.5,0.618828249,1317885000,18.743,72.1,3.8,742758686,20.426,416715683,19.848,0.561037778,10504228,16.167,7970.519,8.984,45.25,28425092,17.163,45.199,0.75,1,1,0,0,0,0,0,0,0,0,0
Colombia,COL,33,2007,5,0.537831867,44374647,27.945,63.8,11.2,18114746,16.712,10707033,16.186,0.591067256,398407.75,12.895,8978.274,9.103,55.95,1231251.5,14.024,74.169,0.25,1,1,0,0,1,0,0,0,0,0,0
Comoros,COM,34,2007,4,0.630490375,649404,41.812,56.6,6.6,199761,12.205,83040,11.327,0.415697533,951.279,6.858,1464.849,7.29,64.3,2977.534,7.999,27.851,0.375,1,0,1,0,0,0,0,1,0,0,0
Costa Rica,CRI,35,2007,7,0.420839465,4369465,26.175,63.3,4.6,1947969,14.482,1190614,13.99,0.611207897,50028,10.82,11449.457,9.346,50.5,111446.078,11.621,68.172,0.667,1,0,0,0,1,0,0,0,0,0,0
Croatia,HRV,36,2007,6,0.484764454,4436000,15.395,53.1,9.6,1801567,14.404,1313388,14.088,0.729025045,87603.875,11.381,19748.394,9.891,30.35,321670.094,12.681,56.822,0.833,1,0,0,0,0,0,0,0,0,0,1
Cyprus,CYP,37,2007,7,0.28488009,1063040,19.134,64,3.9,528715,13.178,397328,12.893,0.751497078,25864.688,10.161,24330.869,10.1,29,101195.664,11.525,67.982,0.833,1,1,0,1,0,0,0,0,0,0,0
Czech Republic,CZE,38,2007,7,0.453156573,10298828,14.463,58.8,5.3,4905349,15.406,4188013,15.248,0.853764444,288279.25,12.572,27991.462,10.24,28.4,1446633,14.185,73.463,0.833,1,0,0,0,0,0,0,0,0,1,1
Dem. Rep. of the Congo,COD,39,2007,2.5,0.761547017,59834875,46.703,72,8.2,21077993,16.864,6815686,15.735,0.323355556,19142.664,9.86,319.925,5.768,44.4,107236.523,11.583,38.448,0.167,1,1,0,0,0,0,0,1,0,0,0
Denmark,DNK,40,2007,7,-0.005009508,5461438,18.515,65.9,3.8,2821271,14.853,2440133,14.708,0.864905524,220907.422,12.305,40448.582,10.608,24.75,783919.063,13.572,86.293,1,1,0,0,0,0,1,0,0,0,0,0
Djibouti,DJI,41,2007,3,0.593586332,799309,36.182,50.2,0,256072,12.453,68368,11.133,0.266988889,2030.394,7.616,2540.186,7.84,40,7254.778,8.889,76.853,0.563,1,0,1,0,0,0,0,0,0,0,0
Dominican Republic,DOM,42,2007,6,0.635835409,9504336,32.517,65.1,15.7,3519843,15.074,2049122,14.533,0.582162809,95466.898,11.467,10044.563,9.215,47.8,321128.969,12.68,70.016,0.417,1,1,0,1,1,0,0,0,0,0,0
East Timor,TLS,43,2007,4.5,0.684135866,1013194,44.975,44.9,6.7,233549,12.361,97817,11.491,0.418827516,,,,,31.9,,,27.564,0.375,1,0,0,0,0,0,0,0,0,0,0
Ecuador,ECU,44,2007,5,0.674848056,14205479,31.857,69,5,6345258,15.663,3726681,15.131,0.5873175,113845.883,11.643,8014.223,8.989,48.3,381349.563,12.851,62.104,0.417,1,0,0,0,1,0,0,0,0,0,0
Egypt,EGY,45,2007,2.5,0.634863365,77605327,32.38,47.8,8.9,22851422,16.945,12422541,16.335,0.543622222,500893.188,13.124,6454.366,8.773,32.6,739960.688,13.514,43.078,0.583,1,0,0,1,0,0,0,0,0,0,0
El Salvador,SLV,46,2007,5.5,0.557359827,5986414,32.567,60.7,6.3,2295985,14.647,1216485,14.011,0.529831282,26499.25,10.185,4426.565,8.395,47.6,49601.395,10.812,62.723,0.25,1,1,0,0,1,0,0,0,0,0,0
Estonia,EST,47,2007,7,0.317268264,1340680,14.923,61,4.7,663073,13.405,566076,13.246,0.853715556,30280.27,10.318,22585.755,10.025,33.65,93793.813,11.449,68.479,0.667,1,0,0,0,0,0,0,0,0,0,1
Ethiopia,ETH,48,2007,3,0.6212924,80891968,45.688,84.4,5.3,35115109,17.374,9868846,16.105,0.281042718,61547.375,11.028,760.859,6.634,29.9,177396.203,12.086,16.116,0.75,1,1,0,0,0,0,0,1,0,1,0
Fiji,FJI,49,2007,3,0.572952348,834729,30.093,55.2,8.6,294409,12.593,212882,12.268,0.723082762,5322.975,8.58,6376.89,8.76,42.8,9446.435,9.153,50.657,0.563,1,0,0,1,0,0,0,0,0,0,0
Finland,FIN,50,2007,7,0.005861521,5288720,17.041,61.7,6.8,2522975,14.741,2053920,14.535,0.814086667,207319.844,12.242,39200.382,10.576,26.85,798444,13.59,83.168,1,1,0,0,0,0,1,0,0,0,0,0
France,FRA,51,2007,7,0.211598587,64016229,18.437,55.9,8,26852454,17.106,21381436,16.878,0.796256309,2301473.5,14.649,35951.407,10.49,32.7,8954847,16.008,77.621,0.833,1,0,0,0,0,1,0,0,0,0,0
Gabon,GAB,52,2007,3,0.706578493,1440902,38.64,59.5,21.1,415062,12.936,240003,12.388,0.578233333,22984.887,10.043,15951.735,9.677,41.5,60782.094,11.015,84.443,0.5,1,0,1,0,0,0,0,1,1,0,0
Gambia,GMB,53,2007,3.5,0.654299784,1536424,46.37,77.5,7.1,593251,13.293,195123,12.181,0.328905128,2471.035,7.812,1608.303,7.383,48.75,5902.958,8.683,53.997,0.667,1,0,0,1,0,0,0,1,0,0,0
Georgia,GEO,54,2007,4,0.54982667,4082000,17.578,63.4,13.3,1849367,14.43,1419492,14.166,0.767555556,25348.242,10.14,6209.76,8.734,41.05,73552.406,11.206,52.575,0.5,1,1,0,0,0,0,0,0,0,0,1
Germany,DEU,55,2007,7,0.160481477,82266372,13.911,59.1,8.6,38256259,17.46,33471917,17.326,0.874939627,3168071.75,14.969,38509.924,10.559,27.65,11559886,16.263,73.695,0.833,1,0,0,1,0,1,0,0,0,0,0
Ghana,GHA,56,2007,6.5,0.489748099,22528041,39.802,68.6,2.8,9042642,16.017,4487702,15.317,0.496282222,55195.141,10.919,2450.064,7.804,41.1,146547.656,11.895,48.669,0.417,1,0,0,1,0,0,0,1,0,0,0
Greece,GRC,57,2007,6.5,0.449465638,11048473,14.652,53.4,8.3,4617510,15.345,3657240,15.112,0.792037106,341275.875,12.74,30888.963,10.338,33.65,1650270.375,14.316,75.199,0.75,1,0,0,0,0,1,0,0,0,0,0
Guatemala,GTM,58,2007,4.5,0.637787092,13797629,40.576,66.8,2.5,5340077,15.491,2287152,14.643,0.428299538,78528.68,11.271,5691.462,8.647,49.396755,192681.016,12.169,48.019,0.25,1,1,0,0,1,0,0,0,0,0,0
Guinea,GIN,59,2007,2.5,0.748282504,10152521,43.835,71.3,2,3984297,15.198,1106750,13.917,0.277778067,11002.97,9.306,1083.767,6.988,39.4,16608.217,9.718,33.596,0.417,1,0,1,0,0,0,0,1,0,0,0
Guinea-Bissau,GNB,60,2007,4,0.727877307,1527342,42.196,72.7,6.8,598195,13.302,194613,12.179,0.325333333,1896.041,7.548,1241.399,7.124,35.5,5545.654,8.621,42.596,0.5,1,1,0,0,0,0,0,1,0,0,0
Guyana,GUY,61,2007,5.5,0.625546455,745638,35.758,60.5,10.8,258503,12.463,148508,11.908,0.574493333,,,,,43.85,,,28.231,0.333,1,0,0,1,1,0,0,0,0,0,0
Haiti,HTI,62,2007,3.5,0.756787872,9556958,37.129,64.3,7.2,3585315,15.092,1300934,14.079,0.362850728,15274.893,9.634,1598.301,7.377,59.2,105312.648,11.565,47.39,0.333,1,0,1,0,1,0,0,0,0,0,0
Honduras,HND,63,2007,5,0.638505161,7133737,38.204,61.6,2.9,2636780,14.785,1248416,14.037,0.473462235,28055.887,10.242,3932.846,8.277,55.3,89601.125,11.403,49.8,0.25,1,0,0,0,1,0,0,0,0,0,0
Hungary,HUN,64,2007,7,0.388243365,10055780,15.139,50.3,7.4,3974680,15.195,3172283,14.97,0.798122883,204068.641,12.226,20293.666,9.918,30,690451.813,13.445,67.368,0.667,1,0,0,0,0,0,0,0,0,1,1
Iceland,ISL,65,2007,7,0.045707035,311566,21.579,76.5,2.3,182616,12.115,152727,11.936,0.836326667,13403.161,9.503,43018.69,10.669,25,49109.164,10.802,93.278,1,1,0,0,0,0,1,0,0,0,0,0
India,IND,66,2007,5.5,0.584997451,1179685631,32.062,58.6,3.7,452276679,19.93,194602594,19.086,0.430273333,3868805.25,15.168,3279.522,8.095,36.8,10616401,16.178,29.906,0.667,1,1,0,1,0,0,0,0,0,0,0
Indonesia,IDN,67,2007,5.5,0.616573882,232296830,29.263,67.7,9.1,101121096,18.432,57176867,17.862,0.565429661,1189657.375,13.989,5121.281,8.541,39.4,4198927.5,15.25,47.528,0.5,1,1,0,0,0,0,0,0,0,0,0
Iran,IRN,68,2007,2,0.592289597,71720859,24.467,45.5,10.6,22035802,16.908,12927964,16.375,0.58668,1188994,13.989,16578.078,9.716,38.3,2812319.25,14.85,68.864,0.667,1,1,0,0,0,0,1,0,1,0,0
Iraq,IRQ,69,2007,2,0.815241456,28423538,41.873,41.7,16.9,5725223,15.56,2635982,14.785,0.460415556,162870.469,12.001,5730.127,8.653,42,276290.063,12.529,68.873,0.25,1,1,0,1,0,0,1,0,1,0,0
Ireland,IRL,70,2007,7,0.149885106,4398942,20.261,63.6,4.6,2128254,14.571,1872797,14.443,0.879968889,218558.375,12.295,49684.305,10.813,34.3,770678.188,13.555,61.025,1,1,0,0,1,0,1,0,0,0,0,0
Israel/West Bank,ISR,71,2007,6.5,0.337506187,7180100,27.542,56.4,7.3,2720031,14.816,2309254,14.652,0.848980633,210102.359,12.255,29261.759,10.284,39.2,665483.75,13.408,91.641,0.833,1,0,0,1,0,0,1,0,0,0,0
Italy,ITA,72,2007,7,0.438817918,58438310,14.109,48.8,6.1,23000073,16.951,17826722,16.696,0.775072406,2101395.75,14.558,35959.215,10.49,36,9587137,16.076,67.974,0.667,1,0,0,0,0,1,0,0,0,0,0
Ivory Coast,CIV,73,2007,2,0.714362741,18862172,43.998,67.2,4.1,6807453,15.734,2445767,14.71,0.359277778,39789.012,10.591,2109.461,7.654,48.4,57497.051,10.959,48.266,0.417,1,0,1,0,0,0,0,1,0,0,0
Jamaica,JAM,74,2007,5.5,0.597114855,2662481,29.169,66.8,9.4,1141344,13.948,749014,13.527,0.656255556,19891.881,9.898,7471.182,8.919,45.5,75033.492,11.226,53.184,0.417,1,0,0,1,1,0,0,0,0,0,0
Japan,JPN,75,2007,6.5,0.25869565,128001000,13.58,60.5,3.9,64314316,17.979,50966952,17.747,0.792466667,4470177,15.313,34922.985,10.461,24.9,17074292,16.653,88.013,0.833,1,0,0,0,0,0,0,0,0,0,0
Jordan,JOR,76,2007,3.5,0.438380951,5759424,37.226,42,13.1,1319546,14.093,933117,13.746,0.70714999,38293.23,10.553,6648.795,8.802,37.7,142094.375,11.864,81.704,0.667,1,1,0,1,0,0,1,0,0,0,0
Kazakhstan,KAZ,77,2007,2.5,0.682441843,15484192,24.227,70.4,7.3,7656942,15.851,5804625,15.574,0.758086667,219808.156,12.301,14195.649,9.561,33.9,602372.5,13.309,54.314,0.667,1,0,0,0,0,0,0,0,1,1,1
Kenya,KEN,78,2007,4.5,0.681103408,37250540,42.745,65.6,9.4,12675886,16.355,6222452,15.644,0.490888889,78932.141,11.276,2118.953,7.659,47.7,150402.75,11.921,22.42,0.333,1,0,0,1,0,0,0,1,0,0,0
Kirgizstan,KGZ,79,2007,3.5,0.748132038,5268400,30.28,65.8,8.2,2218722,14.612,1464189,14.197,0.659924444,12699.475,9.449,2410.499,7.788,34.8,27408.043,10.219,35.287,0.313,1,0,0,0,0,0,0,0,0,0,1
Kuwait,KWT,80,2007,4,0.401945704,2538591,24.981,67.4,1.5,1264321,14.05,774236,13.56,0.612372722,196315.359,12.187,77332.41,11.256,30,349500.625,12.764,98.217,0.833,1,0,0,1,0,0,1,0,1,0,0
Laos,LAO,81,2007,1.5,0.756882668,5939634,39.049,78,1.4,2784287,14.84,1101056,13.912,0.395453333,16458.938,9.709,2771.036,7.927,32.6,46497.102,10.747,29.688,0.438,1,1,1,0,0,0,0,0,0,1,0
Latvia,LVA,82,2007,6.5,0.450387099,2200325,14.34,60.6,6,1073655,13.887,873514,13.68,0.813589392,42560.566,10.659,19342.855,9.87,35.7,188474.078,12.147,67.9,0.833,1,0,0,0,0,0,0,0,0,0,1
Lebanon,LBN,83,2007,3.5,0.678468144,4085426,26.292,46.5,9,1274224,14.058,796416,13.588,0.625020568,54216.656,10.901,13270.747,9.493,45,269677.094,12.505,86.822,0.667,1,1,1,0,0,0,1,0,0,0,0
